Week,New Users,Resurrected Users,Churned Users,Retained Users,Quick Ratio
w2,723,931,828,931,1.997584541
w3,732,1000,654,1000,2.648318043
w4,947,1169,563,1169,3.758436945
w5,799,1394,722,1394,3.037396122
w6,676,1479,714,1479,3.018207283
w7,1062,1487,668,1487,3.815868263
w8,1198,1677,872,1677,3.297018349
w9,956,1839,1036,1839,2.697876448
w10,883,1938,857,1938,3.291715286
w11,815,1931,890,1931,3.085393258
w12,962,1944,802,1944,3.623441397
w13,1059,2021,885,2021,3.480225989
w14,960,2091,989,2091,3.084934277
w15,838,2115,936,2115,3.15491453
w16,866,2200,753,2200,4.071713147
w17,839,2206,860,2206,3.540697674
w18,890,2209,836,2209,3.706937799
w19,788,2280,819,2280,3.746031746
w20,837,2265,803,2265,3.863013699
w21,812,2179,923,2179,3.240520043
w22,958,2289,702,2289,4.625356125
w23,762,2432,815,2432,3.919018405
w24,684,2425,769,2425,4.042912874
w25,723,2378,731,2378,4.242134063
w26,783,2404,697,2404,4.572453372
w27,757,2428,759,2428,4.196310935
w28,680,2395,790,2395,3.892405063
w29,553,2292,783,2292,3.633461047
w30,484,2201,644,2201,4.169254658
w31,480,2172,513,2172,5.169590643
w32,486,2071,581,2071,4.401032702
w33,548,1981,576,1981,4.390625
w34,825,2109,420,2109,6.985714286
w35,660,2227,707,2227,4.083451202
w36,930,2251,636,2251,5.001572327
w37,769,2330,851,2330,3.64159812
w38,1095,2306,793,2306,4.288776797
w39,1276,2461,940,2461,3.975531915
w40,1105,2641,1096,2641,3.417883212
w41,1349,2665,1081,2665,3.713228492
w42,703,2745,1269,2745,2.717100079
w43,704,2445,1003,2445,3.139581256
w44,865,2353,796,2353,4.042713568
w45,782,2309,909,2309,3.400440044
w46,1226,2357,734,2357,4.88147139
w47,1024,2583,1000,2583,3.607
w48,1168,2654,953,2654,4.010493179
w49,1038,2825,997,2825,3.874623872
w50,972,2782,1081,2782,3.472710453
w51,1033,2768,986,2768,3.854969574
w52,1004,2764,1037,2764,3.633558341
w53,1026,2715,1053,2715,3.552706553
w54,1152,2757,984,2757,3.972560976
w55,995,2811,1098,2811,3.466302368
w56,910,2786,1020,2786,3.623529412
